,token_ignored,word
0,ione,One
1,▁done,One
2,iones,One
3,ponent,One
4,azione,One
5,▁component,One
6,zione,One
7,▁someone,One
8,oney,One
9,▁anyone,One
10,▁mentioned,One
11,Component,One
12,aciones,One
13,phone,One
14,▁money,One
15,▁components,One
16,▁alone,One
17,▁gone,One
18,zone,One
19,izione,One
20,▁phone,One
21,ponents,One
22,component,One
23,Phone,One
24,▁zone,One
25,▁Jones,One
26,onel,One
27,▁stone,One
28,stone,One
29,components,One
30,uzione,One
31,▁everyone,One
32,iciones,One
33,cciones,One
34,done,One
35,▁Personen,One
36,▁Stone,One
37,ationen,One
38,▁stagione,One
39,▁Component,One
40,bone,One
41,▁honest,One
42,▁tone,One
43,clone,One
44,▁Indones,One
45,▁Colonel,One
46,▁clone,One
47,ciones,One
48,ionen,One
49,Zone,One
50,▁iPhone,One
51,alone,One
52,onen,One
53,▁inwoners,One
54,▁zones,One
55,izzazione,One
56,▁iphone,One
57,oned,One
58,▁prisoners,One
59,▁persones,One
60,▁abandoned,One
61,ktionen,One
62,▁Phone,One
63,▁Zone,One
64,Components,One
65,Done,One
66,▁exponential,One
67,▁Done,One
68,▁stones,One
69,▁Anyone,One
70,▁versione,One
71,▁millones,One
72,▁prisoner,One
73,▁throne,One
74,estone,One
75,▁cone,One
76,ioned,One
77,▁exponent,One
78,▁persone,One
79,▁pione,One
80,▁timezone,One
81,▁sooner,One
82,etwork,Two
83,▁network,Two
84,▁Network,Two
85,network,Two
86,Network,Two
87,▁networks,Two
88,stwo,Two
89,▁utwor,Two
90,▁networking,Two
91,ictwo,Two
92,▁Fourier,Four
93,▁sevent,Seven
94,▁height,Eight
95,height,Eight
96,Height,Eight
97,▁weight,Eight
98,weight,Eight
99,▁weights,Eight
100,Weight,Eight
101,▁Height,Eight
102,aten,Ten
103,▁content,Ten
104,content,Ten
105,sten,Ten
106,iten,Ten
107,Content,Ten
108,Listener,Ten
109,▁written,Ten
110,▁often,Ten
111,▁extends,Ten
112,▁extension,Ten
113,eten,Ten
114,uten,Ten
115,▁potential,Ten
116,▁intent,Ten
117,arten,Ten
118,▁contents,Ten
119,isten,Ten
120,▁attention,Ten
121,atten,Ten
122,▁intended,Ten
123,▁ersten,Ten
124,kten,Ten
125,istent,Ten
126,▁wetenschapp,Ten
127,halten,Ten
128,anten,Ten
129,daten,Ten
130,Intent,Ten
131,▁tend,Ten
132,▁existence,Ten
133,▁extended,Ten
134,▁sentence,Ten
135,▁Content,Ten
136,contents,Ten
137,osten,Ten
138,▁extend,Ten
139,▁Intent,Ten
140,▁Normdaten,Ten
141,istence,Ten
142,▁listen,Ten
143,ClickListener,Ten
144,ierten,Ten
145,▁tent,Ten
146,ichten,Ten
147,chten,Ten
148,▁tensor,Ten
149,schaften,Ten
150,utenant,Ten
151,EventListener,Ten
152,▁intens,Ten
153,▁listener,Ten
154,▁Daten,Ten
155,nten,Ten
156,▁consistent,Ten
157,keiten,Ten
158,intent,Ten
159,▁attended,Ten
160,▁attend,Ten
161,zten,Ten
162,ften,Ten
163,▁extent,Ten
164,OnClickListener,Ten
165,itten,Ten
166,▁concaten,Ten
167,▁mainten,Ten
168,▁obten,Ten
169,oten,Ten
170,▁intention,Ten
171,▁statunitense,Ten
172,addEventListener,Ten
173,▁conten,Ten
174,riften,Ten
175,igten,Ten
176,extension,Ten
177,written,Ten
178,Extension,Ten
179,▁extensions,Ten
180,▁inten,Ten
181,▁perten,Ten
182,▁trakten,Ten
183,▁Datenbank,Ten
184,erten,Ten
185,▁hatten,Ten
186,▁listening,Ten
187,enten,Ten
188,▁tenía,Ten
189,▁potentially,Ten
190,tensor,Ten
191,▁Lieutenant,Ten
192,▁zweiten,Ten
193,▁extensive,Ten
194,▁threaten,Ten
195,listen,Ten
196,▁erhalten,Ten
197,ritten,Ten
198,▁forgotten,Ten
199,Contents,Ten
200,▁extens,Ten
201,▁letzten,Ten
202,ContentView,Ten
203,heiten,Ten
204,extend,Ten
205,reten,Ten
206,▁Arten,Ten
207,▁tennis,Ten
208,▁Tennessee,Ten
209,▁tender,Ten
210,▁tener,Ten
211,▁laten,Ten
212,▁Seiten,Ten
213,▁extending,Ten
214,▁intend,Ten
215,▁Zweiten,Ten
216,extensions,Ten
217,▁Rotten,Ten
218,▁Staaten,Ten
219,▁lieutenant,Ten
220,▁sentences,Ten
221,▁manten,Ten
222,▁maintenance,Ten
223,▁anten,Ten
224,etten,Ten
225,listener,Ten
226,▁alten,Ten
227,▁tensorflow,Ten
228,▁intensity,Ten
229,▁otten,Ten
230,▁Osten,Ten
231,▁Westen,Ten
232,esten,Ten
233,▁setContentView,Ten
234,Extensions,Ten
235,annten,Ten
236,▁apparten,Ten
237,▁konnten,Ten
238,attend,Ten
239,▁tenia,Ten
240,orten,Ten
241,▁persistent,Ten
242,persistence,Ten
243,intendo,Ten
244,▁Tennis,Ten
245,tensorflow,Ten
246,igkeiten,Ten
247,ätten,Ten
248,▁threatened,Ten
249,heten,Ten
250,▁tenir,Ten
251,▁listened,Ten
252,westen,Ten
253,▁tends,Ten
254,▁maybe,May
255,▁Maybe,May
256,▁mayor,May
257,▁Mayor,May
258,Maybe,May
259,maybe,May
260,▁mayoría,May
261,▁augusti,August
262,▁avoid,Void
263,▁avoided,Void
264,▁community,Unity
265,▁opportunity,Unity
266,▁Community,Unity
267,community,Unity
268,▁repair,Pair
269,▁Univers,Uni
270,unic,Uni
271,▁University,Uni
272,▁United,Uni
273,unicip,Uni
274,▁univers,Uni
275,▁unit,Uni
276,unit,Uni
277,▁municip,Uni
278,▁communic,Uni
279,▁Union,Uni
280,▁community,Uni
281,Unit,Uni
282,▁uniform,Uni
283,▁Unidos,Uni
284,▁union,Uni
285,▁units,Uni
286,Univers,Uni
287,▁municipal,Uni
288,▁communication,Uni
289,▁Municip,Uni
